Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
ALDI,OPERATIONAL,"13145 LaGrange Road, Orland Park",1,4.4,588,"['supermarket', 'grocery_or_supermarket']",41.6509708,-87.8524851
Circle K,OPERATIONAL,"13056 LaGrange Road, Palos Park",1,3,20,['convenience_store'],41.6526737,-87.8546068
Shell,OPERATIONAL,"13056 LaGrange Road, Palos Park",2,1.3,11,['convenience_store'],41.652763,-87.85463999999999
Shell,OPERATIONAL,"13059 LaGrange Road, Palos Park",2,2.2,13,['convenience_store'],41.652797,-87.85339499999999
Circle K Shell Gas Station,OPERATIONAL,"9534 West 131st Street, Palos Park",1,3.2,36,['convenience_store'],41.6527687,-87.85302109999999
7-Eleven,OPERATIONAL,"6350 West 135th Street, Palos Heights",1,3.6,21,['convenience_store'],41.6469259,-87.776487
Walgreens,OPERATIONAL,"13501 South Cicero Avenue, Crestwood",2,3,55,"['drugstore', 'convenience_store']",41.64674519999999,-87.737121
Walmart Supercenter,OPERATIONAL,"4700 135th Street, Crestwood",1,3.8,6295,['grocery_or_supermarket'],41.6482471,-87.7342211
bp,OPERATIONAL,"13501 Kedzie Avenue, Robbins",Price information not available,4.1,18,"['supermarket', 'grocery_or_supermarket']",41.6474719,-87.69881699999999
Amstar,OPERATIONAL,"13800 South Halsted Street, Riverdale",Price information not available,4,1,['convenience_store'],41.6440685,-87.641975
bp,OPERATIONAL,"13801 South Halsted Street, Riverdale",Price information not available,No rating,No ratings,"['supermarket', 'grocery_or_supermarket']",41.6443319,-87.640998
Herman Foods,OPERATIONAL,"20 West 138th Street, Riverdale",Price information not available,3.8,18,"['convenience_store', 'grocery_or_supermarket']",41.6443203,-87.6229556
Village Food and Liquor,OPERATIONAL,"325 West 138th Street, Riverdale",Price information not available,3.7,54,"['convenience_store', 'grocery_or_supermarket']",41.6446573,-87.6283422
Village Groceries,OPERATIONAL,"301 West 138th Street, Riverdale",Price information not available,3.4,5,"['grocery_or_supermarket', 'convenience_store']",41.6448295,-87.6271125
KWIK STOP FOOD & LIQUOR,OPERATIONAL,"301 West 138th Street, Riverdale",Price information not available,No rating,No ratings,"['grocery_or_supermarket', 'convenience_store']",41.64485140000001,-87.6270953
Clark Gas,OPERATIONAL,"733 East 142nd Street, Dolton",Price information not available,3.3,12,['convenience_store'],41.6369564,-87.6011954
Aladdin Foods & Shopping Center,OPERATIONAL,"817 East 142nd Street, Dolton",Price information not available,4.4,25,['grocery_or_supermarket'],41.63687480000001,-87.596904
La Barca Food Products,CLOSED_TEMPORARILY,"13833 South Saginaw Avenue, Burnham",Price information not available,3.8,8,['grocery_or_supermarket'],41.6436522,-87.55787459999999
Walgreens,OPERATIONAL,"13023 LaGrange Road, Palos Park",2,3.2,14,"['drugstore', 'convenience_store']",41.6537849,-87.8532168
