Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Chicago,Status not available,Chicago,Price information not available,No rating,No ratings,"['locality', 'political']",41.8781136,-87.6297982
The Polo Inn Bed & Breakfast,OPERATIONAL,"3322 South Morgan Street, Chicago",Price information not available,4.3,21,"['lodging', 'point_of_interest', 'establishment']",41.8336821,-87.6513107
Potsticker House,OPERATIONAL,"3139 South Halsted Street, Chicago",2,4.2,711,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.83690959999999,-87.6459119
Bridgeport Coffeehouse,OPERATIONAL,"3101 South Morgan Street, Chicago",1,4.5,920,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",41.8378707,-87.6508983
East Lake Management,OPERATIONAL,"3139 South Lituanica Avenue, Chicago",Price information not available,3,4,"['point_of_interest', 'establishment']",41.8374319,-87.6482924
Walgreens,OPERATIONAL,"3000 South Halsted Street, Chicago",2,2.1,108,"['drugstore', 'convenience_store', 'clothing_store', 'food', 'store', 'health', 'point_of_interest', 'establishment']",41.8395196,-87.6470858
Subway,OPERATIONAL,"753 West 31st Street A, Chicago",1,3.2,240,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8377314,-87.6457535
Maria's Packaged Goods and Community Bar,OPERATIONAL,"960 West 31st Street, Chicago",2,4.6,1476,"['bar', 'art_gallery', 'liquor_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",41.83811,-87.65106089999999
Little Caesars Pizza,OPERATIONAL,"3010 South Halsted Street, Chicago",1,3.4,421,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.83920099999999,-87.64693899999999
Co-Prosperity,OPERATIONAL,"3219-21 South Morgan Street, Chicago",Price information not available,4.8,186,"['art_gallery', 'point_of_interest', 'establishment']",41.83570829999999,-87.6508278
Pancho Pistolas Authentic Mexican Restaurant,OPERATIONAL,"700 West 31st Street, Chicago",2,4.3,1743,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.8383,-87.64402199999999
Fabulous Freddies Italian Eatery,OPERATIONAL,"701 West 31st Street, Chicago",1,4.2,2859,"['cafe', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8378887,-87.6439876
Gio's Cafe And Deli,OPERATIONAL,"2724 South Lowe Avenue, Chicago",2,4.7,574,"['meal_delivery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",41.8436568,-87.6429284
Jackalope Coffee & Tea House,OPERATIONAL,"755 West 32nd Street, Chicago",1,4.7,927,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",41.8360968,-87.6458337
McGuane (John) Park,OPERATIONAL,"2901 South Poplar Avenue, Chicago",Price information not available,4.5,690,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",41.8407367,-87.6476489
Cermak Fresh Market,OPERATIONAL,"3033 South Halsted Street, Chicago",Price information not available,4.3,2196,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",41.8389,-87.645949
9th District Chicago Police Department,OPERATIONAL,"3120 South Halsted Street, Chicago",Price information not available,No rating,No ratings,"['police', 'point_of_interest', 'establishment']",41.8370593,-87.6466287
Holden Elementary School,OPERATIONAL,"1104 West 31st Street, Chicago",Price information not available,4.2,19,"['primary_school', 'point_of_interest', 'school', 'establishment']",41.838194,-87.65415469999999
Robert Healy Elementary School,OPERATIONAL,"3010 South Parnell Avenue, Chicago",Price information not available,4.1,17,"['primary_school', 'point_of_interest', 'school', 'establishment']",41.8393837,-87.6405254
South Side,Status not available,Chicago,Price information not available,No rating,No ratings,"['neighborhood', 'political']",41.7506491,-87.64405529999999
Senior Suites of Bridgeport,OPERATIONAL,"2825 South Halsted Street apt,,,610 610, Chicago",Price information not available,4.2,12,"['point_of_interest', 'health', 'establishment']",41.8428459,-87.6461715
Mark Sheridan Math & Science Academy,OPERATIONAL,"533 West 27th Street, Chicago",Price information not available,4.6,28,"['primary_school', 'point_of_interest', 'school', 'establishment']",41.84424589999999,-87.6412481
The Polo Inn,OPERATIONAL,"3322 South Morgan Street, Chicago",2,4.7,345,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8336269,-87.6512511
GameStop,OPERATIONAL,"753 West 31st Street A, Chicago",2,4.3,343,"['electronics_store', 'store', 'point_of_interest', 'establishment']",41.8377089,-87.64606069999999
Augustines Spiritual Boutique,OPERATIONAL,"3327 South Halsted Street, Chicago",Price information not available,4.2,153,"['book_store', 'home_goods_store', 'store', 'point_of_interest', 'health', 'school', 'establishment']",41.8335861,-87.64595
Redbox,OPERATIONAL,"3000 South Halsted Street, Chicago",1,5,2,"['movie_rental', 'store', 'point_of_interest', 'establishment']",41.8393781,-87.6468448
Defibrillator Performance Art Gallery [DFBRL8R],OPERATIONAL,"3231 South Halsted Street #303, Chicago",Price information not available,4.8,13,"['art_gallery', 'point_of_interest', 'establishment']",41.8356085,-87.6458126
St. Barbara Catholic Church,OPERATIONAL,"2859 South Throop Street, Chicago",Price information not available,4.6,71,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",41.84254169999999,-87.6527902
Jinn Express Inc. 芝加哥捷通快递,OPERATIONAL,"2519 South Halsted Street, Chicago",Price information not available,3.5,32,"['point_of_interest', 'establishment']",41.84655490000001,-87.64620939999999
T-Mobile Authorized Retailer,OPERATIONAL,"3016 South Halsted Street, Chicago",2,3.5,103,"['store', 'point_of_interest', 'establishment']",41.839043,-87.6469094
bp,OPERATIONAL,"3047 South Halsted Street, Chicago",Price information not available,3.4,31,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",41.83839,-87.6463
Blue City Cycles,OPERATIONAL,"3201 South Halsted Street, Chicago",Price information not available,4.8,146,"['bicycle_store', 'store', 'point_of_interest', 'establishment']",41.8360813,-87.6459809
ATI Physical Therapy,OPERATIONAL,"3008 South Halsted Street Ste 116, Chicago",Price information not available,4.8,124,"['point_of_interest', 'health', 'establishment']",41.8392889,-87.6470078
"Richard J. Daley Branch, Chicago Public Library",OPERATIONAL,"3400 South Halsted Street, Chicago",Price information not available,4.5,82,"['library', 'point_of_interest', 'establishment']",41.83256919999999,-87.6462758
Monastery of the Holy Cross,OPERATIONAL,"3111 South Aberdeen Street, Chicago",Price information not available,4.8,69,"['place_of_worship', 'point_of_interest', 'establishment']",41.83780530000001,-87.65314959999999
Citi,OPERATIONAL,"3430 South Halsted Street, Chicago",Price information not available,3.2,37,"['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",41.831948,-87.64643199999999
Knights of Columbus,OPERATIONAL,"848 West 27th Street, Chicago",Price information not available,5,2,"['point_of_interest', 'establishment']",41.8446515,-87.64831040000001
Salon Hydrate,OPERATIONAL,"3129 South Morgan Street, Chicago",Price information not available,4.6,58,"['beauty_salon', 'point_of_interest', 'establishment']",41.8370074,-87.6509995
Liberty Tax,OPERATIONAL,"702 West 31st Street, Chicago",Price information not available,4.6,115,"['finance', 'point_of_interest', 'establishment']",41.8382687,-87.644104
Nonna Soluri's Italian Deli,OPERATIONAL,"3142 South Morgan Street, Chicago",2,4.6,263,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8366791,-87.65135889999999
Makowski's Real Sausage Co.,OPERATIONAL,"2710 South Poplar Avenue, Chicago",Price information not available,4.8,19,"['food', 'point_of_interest', 'store', 'establishment']",41.8437259,-87.65216889999999
Stay On Auto Repair & Tire Inc.,OPERATIONAL,"1152 West 31st Street, Chicago",Price information not available,4.6,178,"['car_repair', 'point_of_interest', 'establishment']",41.8382022,-87.6555341
Han 202 Restaurant,OPERATIONAL,"605 West 31st Street, Chicago",2,4.8,191,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.837921,-87.64174799999999
Wings and Rings,OPERATIONAL,"3434 South Halsted Street, Chicago",2,4,2081,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.8316161,-87.64625459999999
Acceptance Insurance,OPERATIONAL,"3048 South Halsted Street, Chicago",Price information not available,4.9,223,"['insurance_agency', 'health', 'point_of_interest', 'establishment']",41.8383533,-87.64645759999999
Sugar Shack,OPERATIONAL,"630 West 26th Street, Chicago",1,4.5,968,"['food', 'point_of_interest', 'store', 'establishment']",41.8455135,-87.6428153
Indoor-Restore Environmental Services,OPERATIONAL,"2920 South Halsted Street, Chicago",Price information not available,No rating,No ratings,"['general_contractor', 'point_of_interest', 'establishment']",41.84128229999999,-87.6464797
Zheng Mei: Allstate Insurance,OPERATIONAL,"2881 South Archer Avenue, Chicago",Price information not available,4.5,40,"['insurance_agency', 'point_of_interest', 'establishment']",41.8419351,-87.6567859
AllCare Orthodontic Center,OPERATIONAL,"842 West 31st Street, Chicago",Price information not available,4.8,155,"['dentist', 'health', 'point_of_interest', 'establishment']",41.838147,-87.64800799999999
Mayra’s Hair Salon,OPERATIONAL,"2901 South Union Avenue #1, Chicago",Price information not available,4.8,56,"['beauty_salon', 'point_of_interest', 'establishment']",41.8416268,-87.6438026
Taqueria San Jose,OPERATIONAL,"3253 South Halsted Street, Chicago",1,3.9,976,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.8348992,-87.6459141
Healing Hands Clinic,CLOSED_TEMPORARILY,"804 West 31st Street, Chicago",Price information not available,4.4,9,"['physiotherapist', 'health', 'point_of_interest', 'establishment']",41.8382005,-87.6465733
Zambrano Photography,OPERATIONAL,"2889 South Archer Avenue, Chicago",Price information not available,3.7,6,"['point_of_interest', 'establishment']",41.84176989999999,-87.657025
Ivy Garden After Sch Center LLC,OPERATIONAL,"625 West 31st Street, Chicago",Price information not available,5,1,"['point_of_interest', 'establishment']",41.83787829999999,-87.6424491
Unique,OPERATIONAL,"3000 South Halsted Street, Chicago",1,3.8,519,"['book_store', 'furniture_store', 'clothing_store', 'point_of_interest', 'home_goods_store', 'store', 'establishment']",41.8397186,-87.6471779
Divvy,OPERATIONAL,"Morgan St & 31st St, Chicago",Price information not available,5,1,"['point_of_interest', 'establishment']",41.8378001,-87.65114
Western Union,OPERATIONAL,"3000 South Halsted Street, Chicago",Price information not available,3.7,3,"['finance', 'point_of_interest', 'establishment']",41.8395358,-87.6468721
Bridgeport Smiles of Chicago,OPERATIONAL,"3014 South Halsted Street, Chicago",Price information not available,3.4,243,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']",41.8390893,-87.6469625
McGuane Park Tennis Courts,OPERATIONAL,"2901 South Poplar Avenue, Chicago",Price information not available,4.7,25,"['point_of_interest', 'establishment']",41.8413263,-87.6467481
Wingstop,OPERATIONAL,"3032 South Halsted Street Ste 106, Chicago",2,3.3,248,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.83874610000001,-87.6466889
Chicago,Status not available,Chicago,Price information not available,No rating,No ratings,"['locality', 'political']",41.8781136,-87.6297982
Ricobene's,OPERATIONAL,"252 West 26th Street, Chicago",1,4.6,7070,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.84574369999999,-87.6339284
