Old Lviv Restaurant, OPERATIONAL, 2228 West Chicago Avenue, Chicago, 1, 4.6, No ratings 41.8959303, -87.683171
Firebelly Wings, OPERATIONAL, 67 East Cermak Road, Chicago, 2, No rating, No ratings 41.85264469999999, -87.6244042
Amor y Tequila, OPERATIONAL, 2118 West Roscoe Street, Chicago, 1, 4.5, No ratings 41.9433871, -87.6818115
Lockwood Restaurant & Bar, OPERATIONAL, 17 East Monroe Street, Chicago, 3, 4.3, No ratings 41.88028200000001, -87.62706
Milk & Honey Cafe, OPERATIONAL, 1920 West Division Street, Chicago, 2, 4.2, No ratings 41.9033583, -87.6757445
Subway, OPERATIONAL, 1232 South Canal Street, Chicago, 1, 3.7, No ratings 41.8663033, -87.64018209999999
Ranalli's of Andersonville, OPERATIONAL, 1512 West Berwyn Avenue, Chicago, 2, 4.3, No ratings 41.9781275, -87.66882190000001
Toons Bar & Grill, OPERATIONAL, 3857 North Southport Avenue, Chicago, 1, 4.5, No ratings 41.95244599999999, -87.6639689
Bruna's Ristorante, OPERATIONAL, 2424 South Oakley Avenue, Chicago, 2, 4.5, No ratings 41.8476402, -87.68333439999999
Dunkin', OPERATIONAL, Gas Station, 1768 West Armitage Avenue, Chicago, 1, 3.8, No ratings 41.91835259999999, -87.67261669999999
Caro Mio Italian Restaurant, OPERATIONAL, 4603 North Lincoln Avenue, Chicago, 2, 4.3, No ratings 41.9651384, -87.6860261
The Wrap & Roll Cafe, OPERATIONAL, 1141 South Western Avenue, Chicago, 2, 4.2, No ratings 41.86721399999999, -87.6857217
Domino's Pizza, OPERATIONAL, 2331 West Madison Street, Chicago, 1, 2.8, No ratings 41.8805821, -87.6848765
Subway, OPERATIONAL, 3952 North Sheridan Road, Chicago, 1, 3.4, No ratings 41.95428630000001, -87.6546836
Little Madrid Tapas-Café, OPERATIONAL, 5661 North Clark Street, Chicago, 2, 4.6, No ratings 41.985099, -87.66893309999999
Bismark Restaurant, OPERATIONAL, 1357 North Western Avenue, Chicago, Price information not available, 4, No ratings 41.90653409999999, -87.6868327
Nathan's Chicago Style, OPERATIONAL, 1372 East 53rd Street, Chicago, 1, 3.9, No ratings 41.79963079999999, -87.59205779999999
R&A Sourdough, OPERATIONAL, 1938 West Lawrence Avenue, Chicago, 2, 4.2, No ratings 41.96889359999999, -87.67787779999999
Sayat Nova Armenian Restaurant, OPERATIONAL, 157 East Ohio Street, Chicago, 2, 4.4, No ratings 41.89230879999999, -87.62322900000001
Chicago Pizza and Oven Grinder Company, OPERATIONAL, 2121 North Clark Street, Chicago, 2, 4.6, No ratings 41.92077099999999, -87.6373581
Roost Chicken & Biscuits, OPERATIONAL, 2011 West Roscoe Street, Chicago, 1, 4.5, No ratings 41.9428931, -87.6789584
Dunkin', OPERATIONAL, 6332 North Broadway, Chicago, 1, 3.8, No ratings 41.99735330000001, -87.6608
Earls Kitchen + Bar, OPERATIONAL, 1538 North Clybourn Avenue a108, Chicago, 2, 4.3, No ratings 41.9091012, -87.6472043
Savanna Breakfast & Lunch Northcenter, OPERATIONAL, 4111 North Lincoln Avenue, Chicago, 2, 4.7, No ratings 41.9563999, -87.6799157
The Piggery, OPERATIONAL, 1625 West Irving Park Road, Chicago, 2, 4.2, No ratings 41.9540801, -87.6700182
Pompei Restaurant, OPERATIONAL, 1531 West Taylor Street, Chicago, 1, 4.4, No ratings 41.8691611, -87.66557949999999
McDonald's, OPERATIONAL, 4844 North Lincoln Avenue, Chicago, 1, 3.7, No ratings 41.9699286, -87.6896664
Andie's Restaurant, OPERATIONAL, 5253 North Clark Street, Chicago, 2, 4.3, No ratings 41.97773899999999, -87.668246
Al's #1 Italian Beef, OPERATIONAL, 1079 West Taylor Street, Chicago, 2, 4.1, No ratings 41.8693274, -87.6540136
Rosebud on Rush, OPERATIONAL, 720 North Rush Street, Chicago, 2, 4.4, No ratings 41.895537, -87.62572229999999
The Palm - Chicago, OPERATIONAL, 323 East Wacker Drive, Chicago, 4, 4.3, No ratings 41.8874577, -87.6195718
Brasil Legal Cafe, OPERATIONAL, 2161 North Western Avenue, Chicago, 1, 4.7, No ratings 41.92162640000001, -87.6873509
Fancy Plants Kitchen, CLOSED_TEMPORARILY, 1443 West Fullerton Avenue, Chicago, Price information not available, 4.6, No ratings 41.9250879, -87.6650007
Truth Restaurant, OPERATIONAL, 56 East Pershing Road, Chicago, 2, 4.2, No ratings 41.8239312, -87.62424329999999
All Day, OPERATIONAL, 907 North Damen Avenue, Chicago, 1, 2.8, No ratings 41.898063, -87.676836
Popeyes Louisiana Kitchen, OPERATIONAL, 6340 North Broadway, Chicago, 1, 2.8, No ratings 41.99764760000001, -87.66081779999999
Subway, OPERATIONAL, 126 East Cermak Road, 2138 South Indiana Avenue Space E, Chicago, 1, 3.1, No ratings 41.85314169999999, -87.6227035
Bird's Nest, OPERATIONAL, 2500 North Southport Avenue, Chicago, 1, 4.4, No ratings 41.92714850000001, -87.6637385
Crisp, OPERATIONAL, 2940 North Broadway, Chicago, 1, 4.7, No ratings 41.9361111, -87.6444389
Chipotle Mexican Grill, OPERATIONAL, 725 South Seeley Avenue, Chicago, 1, 3.6, No ratings 41.8724161, -87.6772302
The Purple Pig Restaurant, OPERATIONAL, 444 Michigan Avenue, Chicago, 2, 4.6, No ratings 41.890739, -87.6245691
Silver Spoon Thai Restaurant, OPERATIONAL, 710 North Rush Street, Chicago, 1, 4.1, No ratings 41.89538960000001, -87.6256485
Jet's Pizza, OPERATIONAL, 1811 West North Avenue, Chicago, 1, 4, No ratings 41.9102058, -87.6731999
Dunkin', OPERATIONAL, 970 West Pershing Road, Chicago, 1, 4.2, No ratings 41.8237383, -87.6497989
Dunkin', OPERATIONAL, 4547 North Broadway, Chicago, 1, 4.1, No ratings 41.9650653, -87.6567608
Jam 'n Honey, OPERATIONAL, 958 West Webster Avenue, Chicago, 2, 4.1, No ratings 41.9219444, -87.6533333
Farmer's Fridge, OPERATIONAL, 2900 North Lake Shore Drive, Chicago, Price information not available, No rating, No ratings 41.9337612, -87.63734559999999
Taco Bell, OPERATIONAL, 4614 South Damen Avenue, Chicago, 1, 3.8, No ratings 41.8092517, -87.67527249999999
Cafe Bionda, OPERATIONAL, 1924 South State Street, Chicago, 2, 4.5, No ratings 41.85578230000001, -87.6275689
Stix n Brix Pizza Cafe, OPERATIONAL, 218 West 33rd Street, Chicago, 2, 4.7, No ratings 41.8346895, -87.6324502
Connie's Pizza, OPERATIONAL, 2373 South Archer Avenue, Chicago, 2, 4.4, No ratings 41.8492671, -87.6410642
Domino's Pizza, OPERATIONAL, 1453 East Hyde Park Boulevard, Chicago, 1, 3.5, No ratings 41.8022166, -87.5897212
Gallery Cafe, OPERATIONAL, 1760 West North Avenue, Chicago, 1, 4.6, No ratings 41.91066, -87.672448
Pho 888, OPERATIONAL, 1137 West Argyle Street, Chicago, 1, 4.2, No ratings 41.97314999999999, -87.6592328
Wen Cai Chinese Kitchen, OPERATIONAL, 2334 West Cermak Road, Chicago, 1, 4.6, No ratings 41.8524021, -87.68467509999999
Bunker, OPERATIONAL, thru the patio, 1515 West Monroe Street, Chicago, 2, 4.4, No ratings 41.87981009999999, -87.66545719999999
Tac Quick, OPERATIONAL, 1011 West Irving Park Road, Chicago, 1, 4.3, No ratings 41.9542937, -87.65508799999999
Pizano's Pizza & Pasta, OPERATIONAL, 61 East Madison Street, Chicago, 2, 4.1, No ratings 41.8819637, -87.6256854
Pizzeria Uno, OPERATIONAL, 29 East Ohio Street, Chicago, 2, 4.3, No ratings 41.8923043, -87.62692899999999
Eleven City Diner, OPERATIONAL, 1112 South Wabash Avenue, Chicago, 2, 4.6, No ratings 41.8686765, -87.62609789999999
Tropical Smoothie Cafe, OPERATIONAL, 737 South Halsted Street, Chicago, 1, 3.9, No ratings 41.872341, -87.646273
Viet Nom Nom, OPERATIONAL, 1811 West Harrison Street, Chicago, Price information not available, No rating, No ratings 41.87386920000001, -87.6721111
Shanghai Inn Restaurant, OPERATIONAL, 4723 North Damen Avenue, Chicago, 1, 4.6, No ratings 41.9676602, -87.67895779999999
Big G's Pizza, OPERATIONAL, 3716 North Clark Street, Chicago, 1, 4.5, No ratings 41.94953330000001, -87.65853729999999
Unico Restaurante, OPERATIONAL, 2435 South Western Avenue, Chicago, Price information not available, 5, No ratings 41.8473722, -87.6851669
Lips Drag Queen Show Palace, Restaurant & Bar, OPERATIONAL, 2229 South Michigan Avenue, Chicago, 2, 4.7, No ratings 41.85205, -87.62334
Little Branch Cafe, OPERATIONAL, 1251 South Prairie Avenue, Chicago, 2, 4.4, No ratings 41.8659341, -87.62142569999999
Underdog Restaurant and Catering, OPERATIONAL, 1570 North Damen Avenue, Chicago, 2, 4.4, No ratings 41.9102773, -87.67763389999999
Jiang Niu BBQ House Lincoln Park, OPERATIONAL, 1523 North Kingsbury Street, Chicago, 2, 4.5, No ratings 41.90898199999999, -87.6520024
KFC, OPERATIONAL, 4804 North Sheridan Road, Chicago, 1, 3.2, No ratings 41.96942149999999, -87.6553741
Sonic Drive-In, OPERATIONAL, 1022 West Wilson Avenue, Chicago, 1, 3.8, No ratings 41.965748, -87.6558605
Jimmy John's, OPERATIONAL, 3328 North Clark Street, Chicago, 1, 4.1, No ratings 41.9424129, -87.65300429999999
Stussy's Diner, OPERATIONAL, 3500 South Halsted Street, Chicago, 2, 3.8, No ratings 41.830575, -87.64640399999999
The Florentine, OPERATIONAL, 151 West Adams Street, Chicago, 3, 4.3, No ratings 41.8792887, -87.6330096
