Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
New City Health Center Wic,OPERATIONAL,"5500 South Damen Avenue, Chicago",Price information not available,No rating,No ratings,"['hospital', 'point_of_interest', 'health', 'establishment']",41.7934019,-87.67441939999999
New City Health Center Wic,OPERATIONAL,"5500 South Damen Avenue, Chicago",Price information not available,No rating,No ratings,"['hospital', 'point_of_interest', 'health', 'establishment']",41.7934019,-87.67441939999999
DaVita Woodlawn Dialysis,OPERATIONAL,"5060 South State Street, Chicago",Price information not available,4.4,7,"['hospital', 'point_of_interest', 'health', 'establishment']",41.80269999999999,-87.6266326
Provident Hospital of Cook County,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,2.9,288,"['hospital', 'point_of_interest', 'health', 'establishment']",41.8027413,-87.61322899999999
Cook County Health John Sengstacke Health Center,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,3.4,14,"['hospital', 'point_of_interest', 'health', 'establishment']",41.802746,-87.61410529999999
DaVita Woodlawn Dialysis,OPERATIONAL,"5060 South State Street, Chicago",Price information not available,4.4,7,"['hospital', 'point_of_interest', 'health', 'establishment']",41.80269999999999,-87.6266326
Spicologa Spiquiatra,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,No rating,No ratings,"['hospital', 'point_of_interest', 'health', 'establishment']",41.8026887,-87.6134697
Provident Hospital of Cook County,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,2.9,288,"['hospital', 'point_of_interest', 'health', 'establishment']",41.8027413,-87.61322899999999
Cook County Health John Sengstacke Health Center,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,3.4,14,"['hospital', 'point_of_interest', 'health', 'establishment']",41.802746,-87.61410529999999
The University of Chicago Medical Center,OPERATIONAL,"800 East 55th Street, Chicago",Price information not available,3.2,5,"['hospital', 'point_of_interest', 'health', 'establishment']",41.7961266,-87.605296
UChicago Medicine Cottage Grove,OPERATIONAL,"5500 South Cottage Grove Avenue, Chicago",Price information not available,4,1,"['hospital', 'doctor', 'point_of_interest', 'health', 'establishment']",41.7959567,-87.6052534
Spicologa Spiquiatra,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,No rating,No ratings,"['hospital', 'point_of_interest', 'health', 'establishment']",41.8026887,-87.6134697
Northwestern Medicine,OPERATIONAL,"4800 South Cottage Grove Avenue, Chicago",Price information not available,No rating,No ratings,"['hospital', 'point_of_interest', 'health', 'establishment']",41.807483,-87.606905
MIMIT Health - Hyde Park Clinic,OPERATIONAL,"1525 East 55th Street Suite #312, Chicago",Price information not available,No rating,No ratings,"['hospital', 'doctor', 'point_of_interest', 'health', 'establishment']",41.79496,-87.587952
The University of Chicago Medical Center,OPERATIONAL,"800 East 55th Street, Chicago",Price information not available,3.2,5,"['hospital', 'point_of_interest', 'health', 'establishment']",41.7961266,-87.605296
UChicago Medicine Cottage Grove,OPERATIONAL,"5500 South Cottage Grove Avenue, Chicago",Price information not available,4,1,"['hospital', 'doctor', 'point_of_interest', 'health', 'establishment']",41.7959567,-87.6052534
Orlikoff & Associates Inc,OPERATIONAL,"4800 South Chicago Beach Drive, Chicago",Price information not available,No rating,No ratings,"['hospital', 'health', 'point_of_interest', 'establishment']",41.80659089999999,-87.58656599999999
Hyde Park Medical Center,OPERATIONAL,"5554 South Hyde Park Boulevard, Chicago",Price information not available,No rating,No ratings,"['hospital', 'health', 'point_of_interest', 'establishment']",41.7936265,-87.5841361
MIMIT Health - Hyde Park Clinic,OPERATIONAL,"1525 East 55th Street Suite #312, Chicago",Price information not available,No rating,No ratings,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",41.79496,-87.587952
University of Illinois Mile Square Health Center,OPERATIONAL,"4630 South Bishop Street, Chicago",Price information not available,3.1,39,"['point_of_interest', 'hospital', 'health', 'establishment']",41.8095711,-87.661643
University of Illinois Hospital,OPERATIONAL,"4636 South Bishop Street, Chicago",Price information not available,3,19,"['hospital', 'point_of_interest', 'health', 'establishment']",41.8095763,-87.661633
University of Illinois Hospital,OPERATIONAL,"4636 South Bishop Street, Chicago",Price information not available,3,19,"['hospital', 'point_of_interest', 'health', 'establishment']",41.8095763,-87.661633
University of Illinois Mile Square Health Center,OPERATIONAL,"4630 South Bishop Street, Chicago",Price information not available,3.1,39,"['point_of_interest', 'hospital', 'health', 'establishment']",41.8095711,-87.661643
DaVita Emerald Dialysis PD,OPERATIONAL,"710 West 43rd Street, Chicago",Price information not available,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",41.8165124,-87.64385349999999
DaVita Woodlawn Dialysis,OPERATIONAL,"5060 South State Street, Chicago",Price information not available,4.4,7,"['hospital', 'health', 'point_of_interest', 'establishment']",41.80269999999999,-87.6266326
Provident Hospital of Cook County,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,2.9,288,"['hospital', 'health', 'point_of_interest', 'establishment']",41.8027413,-87.61322899999999
Cook County Health John Sengstacke Health Center,OPERATIONAL,"500 East 51st Street, Chicago",Price information not available,3.4,14,"['hospital', 'health', 'point_of_interest', 'establishment']",41.802746,-87.61410529999999
DaVita Woodlawn Dialysis,OPERATIONAL,"5060 South State Street, Chicago",Price information not available,4.4,7,"['hospital', 'health', 'point_of_interest', 'establishment']",41.80269999999999,-87.6266326
