Name,Business Status,Address,Price Level,Rating,Total Ratings,Types,Latitude,Longitude
Mi Sol Montessori Garden,OPERATIONAL,"10300 131st Street, Palos Park",Price information not available,4,1,"['school', 'point_of_interest', 'establishment']",41.65261400000001,-87.8708856
Carl Sandburg High School,OPERATIONAL,"13300 LaGrange Road, Orland Park",Price information not available,4.1,22,"['secondary_school', 'school', 'point_of_interest', 'establishment']",41.6495359,-87.8550911
St John Fisher School,OPERATIONAL,"8770 Butterfield Lane, Orland Park",Price information not available,No rating,No ratings,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6488597,-87.8336887
St John Fisher School,OPERATIONAL,"8770 Butterfield Lane, Orland Park",Price information not available,No rating,No ratings,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6488597,-87.8336887
Palos South Middle School,OPERATIONAL,"13100 South 82nd Avenue, Palos Park",Price information not available,4.1,11,"['school', 'point_of_interest', 'establishment']",41.65097489999999,-87.82081579999999
British Swim School at Crestwood Recreation & Wellness Center,OPERATIONAL,"5331 West 135th Street, Crestwood",Price information not available,4.6,45,"['school', 'health', 'point_of_interest', 'establishment']",41.6460593,-87.75134949999999
Eisenhower Cooperative,OPERATIONAL,"5318 135th Street, Crestwood",Price information not available,1,2,"['school', 'point_of_interest', 'establishment']",41.6476419,-87.7504718
Nathan Hale Primary,OPERATIONAL,"5324 135th Street, Crestwood",Price information not available,No rating,No ratings,"['primary_school', 'school', 'point_of_interest', 'establishment']",41.6474969,-87.75087909999999
British Swim School at Crestwood Recreation & Wellness Center,OPERATIONAL,"5331 West 135th Street, Crestwood",Price information not available,4.6,45,"['school', 'health', 'point_of_interest', 'establishment']",41.6460593,-87.75134949999999
Eisenhower Cooperative,OPERATIONAL,"5318 135th Street, Crestwood",Price information not available,1,2,"['school', 'point_of_interest', 'establishment']",41.6476419,-87.7504718
