Dunkin', OPERATIONAL, 5050 West Grand Avenue, Chicago, 1, 4.3, 383, 41.9167189, -87.7526125
Starbucks, OPERATIONAL, 2754 North Clark Street, Chicago, 2, 4.3, 337, 41.932638, -87.645032
NoMI, OPERATIONAL, 800 Michigan Avenue 7th Floor, Chicago, 4, 4.5, 517, 41.8971825, -87.62514809999999
Dunkin', OPERATIONAL, 8424 Willow Springs Road, Willow Springs, 1, 4, 264, 41.7370417, -87.88465839999999
Lola’s Coney Island, OPERATIONAL, 2858 West Chicago Avenue, Chicago, 1, 4.6, 371, 41.895801, -87.69895319999999
South Shore Social Beach Club, CLOSED_TEMPORARILY, Beach House, 7059 South South Shore Drive, Chicago, Price information not available, 4.7, 45, 41.7680265, -87.56196399999999
Urban Olive The Mediterranean Table, OPERATIONAL, International Terminal 5, 10000 West Balmoral Avenue, Chicago, Price information not available, 2.2, 176, 41.9744611, -87.8905606
Burger King, OPERATIONAL, 11020 South Kedzie Avenue, Chicago, 1, 3.7, 597, 41.6926211, -87.7011457
Gorditas jerez, OPERATIONAL, 1719 North Mannheim Road, Stone Park, Price information not available, 3.7, 7, 41.9041471, -87.8834989
Sun Sub, OPERATIONAL, 5542 West North Avenue, Chicago, 1, 4.3, 198, 41.9096214, -87.7646961
Americano, Lincoln Park, OPERATIONAL, 1816 North Clark Street, Chicago, Price information not available, 4.1, 92, 41.9152698, -87.6343802
Delicias El Catrachito, OPERATIONAL, 5846 West Montrose Avenue, Chicago, 2, 4.8, 868, 41.96052479999999, -87.77405619999999
Traspasada Restaurant, OPERATIONAL, 3144 North California Avenue, Chicago, 1, 4.5, 852, 41.93896280000001, -87.6980325
VIP Smoke and Exotic Snacks | SMOKE SHOP NEAR ME | VAPES | CIGARS | THC | CBD, OPERATIONAL, 2356 West Chicago Avenue, Chicago, Price information not available, 5, 285, 41.8959419, -87.6865243
McDonald's, OPERATIONAL, 1737 West Fullerton Avenue, Chicago, 1, 3.8, 1472, 41.9247616, -87.6719262
Eno Wine Bar, OPERATIONAL, 505 Michigan Avenue, Chicago, 3, 4.4, 189, 41.89136, -87.623863
Iztatl Cocina Mexicana, OPERATIONAL, 4808 North Milwaukee Avenue, Chicago, 1, 4.7, 152, 41.9680158, -87.7612362
Plovdiv Music & Gifts, CLOSED_TEMPORARILY, 3953 West Lawrence Avenue, Chicago, Price information not available, 4.2, 27, 41.9680831, -87.7276124
AMORE Sushi House, OPERATIONAL, 3715 North Halsted Street, Chicago, Price information not available, 4.7, 287, 41.9496301, -87.6494099
mfk. Restaurant, OPERATIONAL, 432 West Diversey Parkway, Chicago, 2, 4.7, 373, 41.9329879, -87.6406981
Playas Nayaritas Melrose Park, OPERATIONAL, 1419 North 15th Avenue, Melrose Park, Price information not available, 4.1, 447, 41.9004529, -87.85158
Savor 27 Cajun Seafood & Tacos, CLOSED_TEMPORARILY, 3220 West Grand Avenue, Chicago, 2, 4.3, 12, 41.89893430000001, -87.7073206
Cajun Shrimp & Gumbo, OPERATIONAL, 1767 West 95th Street, Chicago, 2, 3.5, 8, 41.7209167, -87.6673215
Good Children, OPERATIONAL, 665 Pasquinelli Drive, Westmont, 2, 4.1, 50, 41.8129608, -87.95010669999999
Rosati's Pizza, OPERATIONAL, 13131 LaGrange Road, Orland Park, Price information not available, 5, 1, 41.6514345, -87.853459
Nary's Grill & Pizza, OPERATIONAL, 4230 South Archer Avenue, Chicago, 1, 4.1, 190, 41.81658709999999, -87.7004671
Umami Sushi, OPERATIONAL, 4626 North Cumberland Avenue, Chicago, 2, 4.2, 1074, 41.96380229999999, -87.8370743
Burger King, OPERATIONAL, 6400 West Irving Park Road, Chicago, 1, 3.6, 659, 41.953206, -87.7868513
Dunkin', OPERATIONAL, 782 North Laramie Avenue, Chicago, 1, 3.9, 486, 41.8946164, -87.75588100000002
Wetzel's Pretzels, OPERATIONAL, 5220 Fashion Outlets Way Space #8065, Rosemont, 1, 3.3, 30, 41.9751989, -87.86694410000001
Pizza Hut, OPERATIONAL, 2849 West 95th Street, Evergreen Park, 1, 3.4, 389, 41.7204268, -87.69398389999999
Gourmet Deli & Subs, OPERATIONAL, 12201 South Halsted Street, Chicago, Price information not available, 4.3, 19, 41.672194, -87.6413761
Waldo Cooney's Pizza, OPERATIONAL, 6733 Cermak Road #2216, Berwyn, 1, 4.4, 398, 41.8504033, -87.7924822
Wazwan UIC, OPERATIONAL, 750 South Halsted Street Suite 003, Chicago, Price information not available, 2, 4, 41.8719149, -87.6479183
Harczak's Sausages Company, OPERATIONAL, 7035 West Higgins Avenue, Chicago, Price information not available, 4.7, 17, 41.9802423, -87.8038187
Lomas Verdes, OPERATIONAL, 4059 North Milwaukee Avenue, Chicago, 1, 4.3, 24, 41.9547111, -87.7490692
Carmelo's Taco Place, OPERATIONAL, 2746 West 59th Street, Chicago, 2, 4.5, 280, 41.7865904, -87.6929505
D'Agostino's Pizza and Pub Wrigleyville, OPERATIONAL, 1351 West Addison Street, Chicago, 2, 4.4, 1065, 41.9468978, -87.6637123
