url,type,price,sq_ft,price_per_sq_ft,latitude,longitude,beds,baths,address,tags,year_built,property_type,amenities.hoa_dues,amenities.community,amenities.county,amenities.built,amenities.property_type,amenities.heating_cooling,amenities.laundry,amenities.parking,amenities.lot_size
https://redfin.com/IL/Chicago/155-N-Harbor-Dr-60601/unit-4004/home/14093439,for_sale,465000.0,998.0,466.0,41.8848951,-87.6153982,1.0,1.5,"155 N Harbor Dr #4004, Chicago, IL 60601","['WRAP-AROUND WINDOWS', 'LUXURY VINYL FLOORING', 'AMPLE STORAGE', 'STANDOUT KITCHEN', 'HIDDEN PULL-OUT IRONING BOARD', 'REMODELED RESIDENCE']",1974.0,Condo/Co-op,$905 monthly HOA fee,Harbor Point,Cook,Built in 1974,Condo,Has A/C,In-unit laundry (washer and dryer),,
https://redfin.com/IL/Chicago/222-N-Columbus-Dr-60601/unit-2304/home/12620666,for_sale,289000.0,611.0,473.0,41.8866836,-87.6212145,1.0,1.0,"222 N Columbus Dr #2304, Chicago, IL 60601","['BREAKFAST BAR', 'CUSTOM CABINETRY', 'TILE FLOORING', 'MODERN REMODEL', 'STAINLESS STEEL APPLIANCES', 'QUARTZ COUNTERTOPS']",2002.0,Condo/Co-op,$654 monthly HOA fee,Park Millennium Condos,Cook,Built in 2002,Condo,Has A/C,In-unit laundry (washer and dryer),1 garage space,
https://redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-3103/home/178671995,for_sale,1950000.0,2260.0,863.0,41.8874508,-87.6174598,2.0,2.5,"363 E Wacker Dr #3103, Chicago, IL 60601","['THERMADOR APPLIANCES', 'SNAIDERO CABINETRY', 'KALLISTA PLUMBING FIXTURES', 'ARCHITECTURAL MASTERPIECE', 'GAGGENAU APPLIANCES', 'WIDE PLANK HARDWOOD FLOORING']",2021.0,Condo/Co-op,"$1,234 monthly HOA fee",CHI - Loop,Cook,Built in 2021,Condo,Has A/C,In-unit laundry (washer and dryer),,
https://redfin.com/IL/Chicago/200-N-Dearborn-St-60601/unit-4608/home/144510010,for_sale,255000.0,775.0,329.0,41.8860876,-87.6300102,1.0,1.0,"200 N Dearborn St #4608, Chicago, IL 60601","['COIN LAUNDRY', 'FITNESS CENTER', 'SUNDECK', 'PRIVATE BALCONY', 'INDOOR POOL']",1989.0,Condo/Co-op,$625 monthly HOA fee,CHI - Loop,Cook,Built in 1989,Condo,Has A/C,,,
https://redfin.com/IL/Chicago/400-E-Randolph-St-60601/unit-1811/home/14094022,for_sale,389000.0,650.0,598.0,41.885003,-87.6168638,0.0,1.0,"400 E Randolph St #1811, Chicago, IL 60601","['HOT TUB', 'STEAM ROOM', 'STATE-OF-THE-ART SPA', 'SUNBATHING DECK', 'FITNESS CLUB', 'SAUNA']",1963.0,Condo/Co-op,$613 monthly HOA fee,CHI - Loop,Cook,Built in 1963,Condo,Has A/C,Shared laundry,1 garage space,
https://redfin.com/IL/Chicago/225-N-Columbus-Dr-60601/unit-8008/home/17462033,for_sale,1400000.0,1880.0,745.0,41.8864623,-87.6201026,2.0,2.5,"225 N Columbus Dr #8008, Chicago, IL 60601","['EXPANSIVE TERRACE', 'PREMIUM APPLIANCES', 'CUSTOM CABINETRY', 'FLOOR TO CEILING WINDOWS', 'CALACATTA MARBLE COUNTERTOPS', '14 FOOT CEILINGS']",2009.0,Condo/Co-op,"$1,832 monthly HOA fee",CHI - Loop,Cook,Built in 2009,Condo,Has A/C,In-unit laundry (washer and dryer),,
https://redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-4304/home/109066623,for_sale,1795000.0,1720.0,1044.0,41.8874508,-87.6174598,2.0,2.0,"363 E Wacker Dr #4304, Chicago, IL 60601","['HOT TUB', 'HEATED BATHROOM FLOORS', 'FIRE PIT', 'OUTDOOR POOL', 'UNOBSTRUCTED VIEWS', 'ENHANCED KITCHEN CABINETRY']",,Condo/Co-op,"$1,833 monthly HOA fee",CHI - Loop,Cook,,Condo,Has A/C,In-unit laundry (washer and dryer),1 garage space,
https://redfin.com/IL/Chicago/195-N-Harbor-Dr-60601/unit-4105/home/14094247,for_sale,400000.0,1294.0,309.0,41.8856622,-87.6146932,2.0,2.0,"195 N Harbor Dr #4105, Chicago, IL 60601","['ROOF DECK POOL', 'TENNIS COURT', 'EXERCISE ROOM', 'BREATHTAKING VIEW', 'ACROSS FROM DUSABLE HARBOR', 'WITHIN 1 MILE OF NAVY PIER']",1991.0,Condo/Co-op,"$1,098 monthly HOA fee",CHI - Loop,Cook,Built in 1991,Condo,Has A/C,,1 garage space,
https://redfin.com/IL/Chicago/155-N-Harbor-Dr-60601/unit-1303/home/14092841,for_sale,529500.0,1465.0,361.0,41.8848951,-87.6153982,2.0,2.0,"155 N Harbor Dr #1303, Chicago, IL 60601","['GRANITE KITCHEN', 'SEPARATE DINING AREA', 'LARGE WALK-IN CLOSET', 'CITY AND LAKE VIEWS', 'CUSTOM SLIDING DOORS', 'RENOVATED EN-SUITE BATHROOM']",1974.0,Condo/Co-op,"$1,287 monthly HOA fee",Harbor Point,Cook,Built in 1974,Condo,,In-unit laundry (washer and dryer),1 garage space,
https://redfin.com/IL/Chicago/400-E-Randolph-St-60601/unit-828/home/14094658,for_sale,315000.0,860.0,366.0,41.885003,-87.6168638,1.0,1.0,"400 E Randolph St #828, Chicago, IL 60601","['WATERFALL FEATURE', '18 FT BALCONY', 'HIGH END SMART APPLIANCES', 'SCRATCH PROOF FLOORING', 'CUSTOM CABINETRY', 'QUARTZ COUNTERTOPS']",1963.0,Condo/Co-op,$724 monthly HOA fee,CHI - Loop,Cook,Built in 1963,Condo,Has A/C,Shared laundry,1 garage space,
